MonthYear,GDP
1/1/1978,99.58990063
1/2/1978,99.72128547
1/3/1978,99.82420059
1/4/1978,99.90211821
1/5/1978,99.9663171
1/6/1978,100.0294888
1/7/1978,100.1002068
1/8/1978,100.1841949
1/9/1978,100.2849249
1/10/1978,100.403134
1/11/1978,100.5384563
1/12/1978,100.6896658
1/1/1979,100.8535607
1/2/1979,101.0240938
1/3/1979,101.1904597
1/4/1979,101.3345812
1/5/1979,101.436205
1/6/1979,101.4795207
1/7/1979,101.4627103
1/8/1979,101.3898292
1/9/1979,101.2669372
1/10/1979,101.1022468
1/11/1979,100.9031242
1/12/1979,100.6761674
1/1/1980,100.4298147
1/2/1980,100.1779315
1/3/1980,99.94480861
1/4/1980,99.7706086
1/5/1980,99.69693884
1/6/1980,99.74863084
1/7/1980,99.90829671
1/8/1980,100.1383571
1/9/1980,100.3948257
1/10/1980,100.6359963
1/11/1980,100.8279614
1/12/1980,100.951244
1/1/1981,101.0108053
1/2/1981,101.0200143
1/3/1981,100.9890256
1/4/1981,100.9167873
1/5/1981,100.7988208
1/6/1981,100.6378772
1/7/1981,100.457669
1/8/1981,100.2897151
1/9/1981,100.1617854
1/10/1981,100.0857042
1/11/1981,100.0620864
1/12/1981,100.0812108
1/1/1982,100.1199993
1/2/1982,100.1525132
1/3/1982,100.1589179
1/4/1982,100.1347794
1/5/1982,100.0850332
1/6/1982,100.0200399
1/7/1982,99.95339593
1/8/1982,99.89572479
1/9/1982,99.84856496
1/10/1982,99.79756785
1/11/1982,99.72452489
1/12/1982,99.619448
1/1/1983,99.49395718
1/2/1983,99.36979436
1/3/1983,99.26880241
1/4/1983,99.20285422
1/5/1983,99.17620536
1/6/1983,99.18515502
1/7/1983,99.21469605
1/8/1983,99.24774401
1/9/1983,99.27264635
1/10/1983,99.29021323
1/11/1983,99.30796797
1/12/1983,99.33474633
1/1/1984,99.37511343
1/2/1984,99.42962117
1/3/1984,99.49387048
1/4/1984,99.55633349
1/5/1984,99.60296786
1/6/1984,99.62172051
1/7/1984,99.607922
1/8/1984,99.56586525
1/9/1984,99.51245458
1/10/1984,99.4826245
1/11/1984,99.51417715
1/12/1984,99.63097107
1/1/1985,99.82150187
1/2/1985,100.0576525
1/3/1985,100.3076397
1/4/1985,100.5454257
1/5/1985,100.7513212
1/6/1985,100.9131945
1/7/1985,101.0296559
1/8/1985,101.101947
1/9/1985,101.1288072
1/10/1985,101.1042995
1/11/1985,101.019493
1/12/1985,100.8676433
1/1/1986,100.6534389
1/2/1986,100.3877007
1/3/1986,100.0864532
1/4/1986,99.77359132
1/5/1986,99.47278608
1/6/1986,99.20041183
1/7/1986,98.95776824
1/8/1986,98.73831115
1/9/1986,98.53253489
1/10/1986,98.33103713
1/11/1986,98.130653
1/12/1986,97.94009699
1/1/1987,97.78535414
1/2/1987,97.69709647
1/3/1987,97.69571508
1/4/1987,97.78084725
1/5/1987,97.93935022
1/6/1987,98.15582504
1/7/1987,98.41755721
1/8/1987,98.71399001
1/9/1987,99.0326661
1/10/1987,99.35233632
1/11/1987,99.6466636
1/12/1987,99.88761768
1/1/1988,100.0504919
1/2/1988,100.1200061
1/3/1988,100.1016954
1/4/1988,100.0394598
1/5/1988,99.98768307
1/6/1988,99.98673231
1/7/1988,100.0380318
1/8/1988,100.1245003
1/9/1988,100.2268868
1/10/1988,100.3374384
1/11/1988,100.4490164
1/12/1988,100.5436389
1/1/1989,100.5809964
1/2/1989,100.522691
1/3/1989,100.360463
1/4/1989,100.1505415
1/5/1989,99.97303115
1/6/1989,99.8955017
1/7/1989,99.93523476
1/8/1989,100.0777734
1/9/1989,100.2864873
1/10/1989,100.5045432
1/11/1989,100.6808025
1/12/1989,100.7953392
1/1/1990,100.8879474
1/2/1990,101.0181992
1/3/1990,101.2272073
1/4/1990,101.4967558
1/5/1990,101.7784611
1/6/1990,102.0185805
1/7/1990,102.1823657
1/8/1990,102.2525642
1/9/1990,102.2335061
1/10/1990,102.1560637
1/11/1990,102.0616573
1/12/1990,101.9851223
1/1/1991,101.9394442
1/2/1991,101.9221675
1/3/1991,101.9198831
1/4/1991,101.9109995
1/5/1991,101.8746189
1/6/1991,101.8002381
1/7/1991,101.6996981
1/8/1991,101.5926898
1/9/1991,101.4946057
1/10/1991,101.4053669
1/11/1991,101.3174839
1/12/1991,101.2237827
1/1/1992,101.1253346
1/2/1992,101.026149
1/3/1992,100.9285998
1/4/1992,100.8292862
1/5/1992,100.7217988
1/6/1992,100.5999148
1/7/1992,100.4616631
1/8/1992,100.309874
1/9/1992,100.1541723
1/10/1992,100.0141928
1/11/1992,99.90771727
1/12/1992,99.83805214
1/1/1993,99.77926035
1/2/1993,99.69539085
1/3/1993,99.55900668
1/4/1993,99.37154964
1/5/1993,99.15141098
1/6/1993,98.92580033
1/7/1993,98.72520487
1/8/1993,98.57690008
1/9/1993,98.49695872
1/10/1993,98.47866045
1/11/1993,98.50345182
1/12/1993,98.54738977
1/1/1994,98.58453979
1/2/1994,98.59456298
1/3/1994,98.57086272
1/4/1994,98.53065398
1/5/1994,98.49806729
1/6/1994,98.48850161
1/7/1994,98.49250295
1/8/1994,98.49278966
1/9/1994,98.48023138
1/10/1994,98.47004145
1/11/1994,98.48743142
1/12/1994,98.55316047
1/1/1995,98.66712707
1/2/1995,98.8191219
1/3/1995,98.99604622
1/4/1995,99.18640997
1/5/1995,99.37996245
1/6/1995,99.56637627
1/7/1995,99.73371656
1/8/1995,99.87239405
1/9/1995,99.9805374
1/10/1995,100.0714487
1/11/1995,100.1642201
1/12/1995,100.2756134
1/1/1996,100.4118671
1/2/1996,100.5714236
1/3/1996,100.7459223
1/4/1996,100.9195762
1/5/1996,101.0767862
1/6/1996,101.2099573
1/7/1996,101.3286159
1/8/1996,101.4468275
1/9/1996,101.5716908
1/10/1996,101.6919252
1/11/1996,101.7868193
1/12/1996,101.835687
1/1/1997,101.8293128
1/2/1997,101.7670704
1/3/1997,101.6580642
1/4/1997,101.526322
1/5/1997,101.3979931
1/6/1997,101.2904194
1/7/1997,101.2011952
1/8/1997,101.1160449
1/9/1997,101.0154343
1/10/1997,100.880989
1/11/1997,100.6996731
1/12/1997,100.4704521
1/1/1998,100.2142484
1/2/1998,99.96119579
1/3/1998,99.74004818
1/4/1998,99.56763199
1/5/1998,99.4525655
1/6/1998,99.3954657
1/7/1998,99.38500963
1/8/1998,99.40252359
1/9/1998,99.42318934
1/10/1998,99.41527166
1/11/1998,99.35198338
1/12/1998,99.22539741
1/1/1999,99.06409024
1/2/1999,98.91042599
1/3/1999,98.80041558
1/4/1999,98.74321072
1/5/1999,98.73365994
1/6/1999,98.76084197
1/7/1999,98.81305201
1/8/1999,98.88319016
1/9/1999,98.97231693
1/10/1999,99.09188935
1/11/1999,99.25449351
1/12/1999,99.46227058
1/1/2000,99.69200141
1/2/2000,99.91106184
1/3/2000,100.0918412
1/4/2000,100.2270012
1/5/2000,100.3222676
1/6/2000,100.3922873
1/7/2000,100.4592159
1/8/2000,100.5439829
1/9/2000,100.6577228
1/10/2000,100.7918201
1/11/2000,100.9253866
1/12/2000,101.0312126
1/1/2001,101.0817626
1/2/2001,101.0525687
1/3/2001,100.929557
1/4/2001,100.7218836
1/5/2001,100.4500888
1/6/2001,100.1401836
1/7/2001,99.82231965
1/8/2001,99.52539486
1/9/2001,99.27235274
1/10/2001,99.07406077
1/11/2001,98.93544844
1/12/2001,98.85754743
1/1/2002,98.83512493
1/2/2002,98.86028468
1/3/2002,98.92195303
1/4/2002,99.0018305
1/5/2002,99.08078253
1/6/2002,99.14384319
1/7/2002,99.18520604
1/8/2002,99.20433217
1/9/2002,99.20349042
1/10/2002,99.18678194
1/11/2002,99.15954899
